[44236:44240:0213/213217.974:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[44236:44700:0213/213218.021:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[44236:44240:0213/213218.044:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[44236:44240:0213/213220.701:WARNING:external_registry_loader_win.cc(232)] Error observing HKLM: 5
[20588:42848:0213/213221.687:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-2EA7CC29B99CA042DDF1DA871319619B will be ignored
[44236:44240:0213/213224.722:ERROR:device_event_log_impl.cc(196)] [21:32:24.719] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[44236:44704:0213/231651.770:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=66})
[44236:44704:0213/231653.775:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=67})
[44236:44704:0213/231655.775:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=68})
[44236:44704:0213/231657.772:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=69})
[44236:44704:0213/231700.771:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=70})
[44236:44704:0213/231702.775:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=71})
[44236:44704:0213/231710.779:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=70})
[44236:44704:0213/231711.776:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=69})
[44236:44704:0213/231715.776:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=70})
[44236:44704:0213/231718.790:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=69})
[44236:44704:0213/231719.788:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=71})
[44236:44704:0213/231721.789:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=70})
[44236:44704:0213/231729.786:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=68})
[44236:44704:0213/231732.785:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=67})
[44236:44704:0213/231734.792:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=66})
[44236:44704:0213/231739.787:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=67})
[44236:44704:0213/231740.807:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=68})
[44236:44704:0213/231742.790:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=69})
[44236:44704:0213/231743.800:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=70})
[44236:44704:0213/231745.802:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=69})
[44236:44704:0213/231748.793:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00006BA400162D40}, {new_limit=68})
